,Auction Name,Days,Date,Winning Bid,Starting Bid,Currency,Hierarchy,Category 1,Category 2
76,B-WARE Konsolentisch 92x115x32cm Flurtisch Konsole Kommode Highboard Sideboard,1,16 Feb 2021 at 8:29:20pm GMT,29,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
77,Sofa.com Bluebell Taupe Armchair,7,5 Dec 2020 at 8:12:25pm GMT,351.99,84,£,,,
78,RRP €830 ZANOTTA 200 Sella Stool Designed by Achille & Pier Giacomo Castiglioni,10,10 Dec 2020 at 9:13:42pm GMT,119,29.99,£,"Home, Furniture & DIY>Furniture>Benches, Stools & Bar StoolsHome, Furniture & DIY>Furniture>Other Furniture",Furniture,Other Furniture
79,BAUERNMALEREI  auf  HOLZTRUHE  ,10,10 Jan 2021 at 4:34:46pm GMT,53,1,EUR,"Home, Furniture & DIY>Furniture>Trunks & Chests",Furniture,Trunks & Chests
80,Modern Coffee Table Living Room,7,25 Jan 2021 at 7:46:57am GMT,33,1,£,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
81,Kartell Componibili eckig kleines Fach + Abschlussplatte weiß + Rollen + Auflage,10,27 Jan 2021 at 10:27:10am GMT,61,9.99,EUR,"Home, Furniture & DIY>Furniture>Other Furniture",Furniture,Other Furniture
82,B-WARE Relaxsessel Fernsehsessel Polster Sessel Liegefunktion Liegestuhl Braun,1,27 Jan 2021 at 1:04:37pm GMT,91,1,EUR,"Home, Furniture & DIY>Furniture>Sofas, Armchairs & Couches",Furniture,"Sofas, Armchairs & Couches"
83,B-WARE Beistelltisch 50x55x55cm Konsole Couchtisch Metall Kratzfest Tisch,1,28 Jan 2021 at 9:29:06pm GMT,35.5,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
84,B-WARE 2x Esszimmerstuhl Bürostuhl Küchenstuhl Stuhl Stuhlset Stühle Grau,1,2 Feb 2021 at 11:13:01pm GMT,28.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
85,The White Company Helford Rectangular Pouffe Natural Cotton Footrest RRP £225,3,3 Feb 2021 at 7:41:06pm GMT,129.25,4.99,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
86,B-WARE Couchtisch 100x60x35cm Wohnzimmertisch Beistelltisch Beton-Optik MDF,1,15 Feb 2021 at 8:10:21pm GMT,26,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
87,B-WARE 2x Stühle Textil Grau Lehnstuhl Hochlehner Esszimmerstuhl Polsterstuhl,1,16 Feb 2021 at 8:29:30pm GMT,23.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
88,B-WARE Couchtisch Beistelltisch Wohnzimmertisch Sofatisch Ablage Rund Holz/Grau,1,18 Feb 2021 at 7:04:28pm GMT,40.51,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
