,Auction Name,Days,Date,Winning Bid,Starting Bid,Currency,Hierarchy,Category 1,Category 2
742, Tapestry Foot Stool Complete Kit. Mahogany With Bun Feet. Strawberry Pattern,7,31 Jan 2021 at 1:23:23pm GMT,26.64,4.99,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
743,B-WARE Konsolentisch 92x80x32cm Flurtisch Konsole Kommode Highboard Sideboard,1,31 Jan 2021 at 2:40:32pm GMT,26.5,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
744,HOCKER♥Zwergenschön♥GESICHTchen♥HOLZ♥Beistelltisch♥RUND♥Shabby Chic♥DEKO♥40cm,5,31 Jan 2021 at 8:26:39pm GMT,45.51,1,EUR,"Home, Furniture & DIY>Furniture>Benches, Stools & Bar Stools",Furniture,"Benches, Stools & Bar Stools"
745,B-WARE Beistelltisch 2er-Set Rechteckig Sofatisch Nachttisch Metall Kratzfest,1,2 Feb 2021 at 11:13:22pm GMT,20.5,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
746,B-WARE 2x Stühle Textil Grau Lehnstuhl Hochlehner Esszimmerstuhl Polsterstuhl,1,2 Feb 2021 at 11:13:58pm GMT,16.49,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
747,Small Table ,7,3 Feb 2021 at 12:43:29pm GMT,15.05,4.5,£,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
748,Old Painted Pine Shelf With Pegs,7,6 Feb 2021 at 9:39:13am GMT,35,10,£,"Home, Furniture & DIY>Furniture>Bookcases, Shelving & Storage",Furniture,"Bookcases, Shelving & Storage"
749,Vintage Foot Stool Walnut Red Check Woven Rush Wicker Rope String Seagrass 1950s,10,6 Feb 2021 at 7:41:13pm GMT,27.99,9.99,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
750,Vintage Velvet Button Top Foot Stool Classic Design ,7,7 Feb 2021 at 2:07:54pm GMT,40,19.99,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
751,"Überzug für Sessel Ikea Stockholm 1,5 in blau Von Bemz",5,7 Feb 2021 at 6:00:06pm GMT,45,1,EUR,"Home, Furniture & DIY>Furniture>Slip Covers",Furniture,Slip Covers
752,B-WARE 2er-Set Stühle weiß Hochlehner Esszimmer Kunst-Leder Polster Stuhl,1,8 Feb 2021 at 1:48:09am GMT,15.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
753,Stiftkästchen Wandregal Garderobenregal klein Holz alt Antik wandmontierbar,10,8 Feb 2021 at 10:43:26am GMT,24.5,10,EUR,"Home, Furniture & DIY>Furniture>Bookcases, Shelving & Storage",Furniture,"Bookcases, Shelving & Storage"
754,"PAIR, X - LARGE, BROWN LEATHER SOFAS",5,9 Feb 2021 at 7:08:21pm GMT,50,0.99,£,"Home, Furniture & DIY>Furniture>Sofas, Armchairs & Couches",Furniture,"Sofas, Armchairs & Couches"
755,Adjustable Portable Laptop Table Trolley Computer Desk Keyboard Sofa Tray Height,10,10 Feb 2021 at 6:54:10pm GMT,21.73,10,£,"Home, Furniture & DIY>Furniture>Home Office Desks",Furniture,Home Office Desks
756,Vintage Green Velvet Cabriole Leg Dark Wood Footstool,5,11 Feb 2021 at 1:01:07pm GMT,51,18,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
757,Vintage SIRROM Lloyd Loom Style Wicker Ottoman Bedroom Padded Seat Stool Box,10,11 Feb 2021 at 3:58:28pm GMT,41,5,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
758,LARGE ROUND GOLD DRINKS TROLLEY * 2 Tier Shelves * Brand New * Grab A Bargain,5,13 Feb 2021 at 3:13:25pm GMT,50,25,£,"Home, Furniture & DIY>Furniture>Drinks Trolleys & Tea Trolleys",Furniture,Drinks Trolleys & Tea Trolleys
759,Baleri Italia Tatino Tattoo Hocker Ottomane Designermöbel Sitzei Sitzkugel,7,14 Feb 2021 at 7:12:07pm GMT,80.03,1,EUR,"Home, Furniture & DIY>Furniture>Benches, Stools & Bar Stools",Furniture,"Benches, Stools & Bar Stools"
760,Your Home Velvet Fabric Ottoman Footstool Furniture Seat Pouffe Storage Box ,5,14 Feb 2021 at 8:01:03pm GMT,14,0.99,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
761,B-WARE Couchtisch Schwarz Metall Tisch Beistelltisch Wohnzimmertisch Sofatisch,1,15 Feb 2021 at 8:11:57pm GMT,22.7,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
762,hall cabinets,7,16 Feb 2021 at 12:43:20pm GMT,36,0.99,£,"Home, Furniture & DIY>Furniture>Cabinets & Cupboards",Furniture,Cabinets & Cupboards
763,B-WARE 2x Beistelltisch Couchtisch Sofatisch Set Tabletttisch Servier Tisch,1,16 Feb 2021 at 8:27:29pm GMT,12.51,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
764,B-WARE 2er-Set Stühle grau Hochlehner Esszimmer Kunst-Leder Polster Stuhl,1,16 Feb 2021 at 8:29:00pm GMT,21.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
765,B-WARE Metall Beistelltisch Metallkorb Couchtisch Sofatisch Deko Korb Schwarz,1,17 Feb 2021 at 10:49:15pm GMT,14.18,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
766,"P647 HEINE Kommode, inklusive Körbe ""grau"" ca. 51 x 75 x 30 cm UVP: 149,99€",3,18 Feb 2021 at 7:09:16am GMT,50,5,EUR,"Home, Furniture & DIY>Furniture>Chests of Drawers",Furniture,Chests of Drawers
767,B-WARE Couchtisch Tisch Beistelltisch Wohnzimmertisch Sofatisch Möbel 115x55x31,1,18 Feb 2021 at 7:03:48pm GMT,17.5,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
768,B-WARE Beistelltisch 2er-Set Quadratisch Sofatisch Nachttisch Metall Kratzfest,1,18 Feb 2021 at 7:03:51pm GMT,19.5,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
769,B-WARE 2er-Set Stühle grau Hochlehner Esszimmer Kunst-Leder Polster Stuhl,1,18 Feb 2021 at 7:04:13pm GMT,15.01,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
770,B-WARE Säulentisch 2er-Set Beistelltisch Satztisch Pflanztisch Metall Kratzfest,1,18 Feb 2021 at 7:04:31pm GMT,25,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
771,"P320 HEINE Schuhschrank, inkl. Körbe ""braun/grau"" ca.100x60x25 cm UVP:169,99€",3,21 Feb 2021 at 10:08:22am GMT,40.6,5,EUR,"Home, Furniture & DIY>Furniture>Cabinets & Cupboards",Furniture,Cabinets & Cupboards
772,B-WARE [en.casa] 2x Design Stühle Esszimmer Grau Stuhl Holz Plastik Kunst-Leder,1,21 Feb 2021 at 1:37:21pm GMT,20.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
773,B-WARE 2x Design Stühle Weiß/Schwarz Esszimmer Stuhl Kunststoff Skandinavisch,1,21 Feb 2021 at 1:38:04pm GMT,21.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
774,B-WARE 2x Esszimmerstuhl Bürostuhl Küchenstuhl Stuhl Stuhlset Stühle Dunkelgrau,1,21 Feb 2021 at 1:38:28pm GMT,20.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
775,Antiker Beistell Tisch Kulissentisch Louis Philippe Intarsien france table 110cm,10,21 Feb 2021 at 8:44:16pm GMT,161,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
776,"IKEA Slip Cover for IKEA Tullsta chair, Nordvalla medium grey",7,23 Feb 2021 at 10:02:03pm GMT,23,0.99,£,"Home, Furniture & DIY>Furniture>Slip Covers",Furniture,Slip Covers
777,B-WARE Beistelltisch 2er-Set Quadratisch Sofatisch Nachttisch Metall Kratzfest,1,25 Feb 2021 at 12:48:40am GMT,17.5,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
778,B-WARE Konsolentisch 95x110x32cm Flurtisch Konsole Kommode Highboard Sideboard,1,25 Feb 2021 at 12:49:05am GMT,21.5,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
779,B-WARE Couchtisch Schwarz Metall Tisch Beistelltisch Wohnzimmertisch Sofatisch,1,25 Feb 2021 at 12:49:15am GMT,23,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
780,B-WARE Konsolentisch 92x80x32cm Flurtisch Konsole Kommode Highboard Sideboard,1,25 Feb 2021 at 12:49:18am GMT,18,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
781,"Vintage Wooden Dansette Legs Suit Record Player Or Tv Cabinet 19"" Long",7,27 Feb 2021 at 7:44:59pm GMT,42.5,2.99,£,"Home, Furniture & DIY>Furniture>Furniture Parts",Furniture,Furniture Parts
782,"P648 HEINE Regal mit transparenten Ablagen ""transparent"" 75/40/30cm UVP:149,99€",3,28 Feb 2021 at 8:29:34am GMT,29.5,5,EUR,"Home, Furniture & DIY>Furniture>Bookcases, Shelving & Storage",Furniture,"Bookcases, Shelving & Storage"
783,Footstool: antique leather topped on cherry wood base,10,30 Nov 2020 at 7:20:13pm GMT,153.56,50,£,,,
784,Starry Night Inflatable Double Air Bed Raised Frame Guest Mattress Electric Pump,5,30 Nov 2020 at 7:24:12pm GMT,51,0.99,£,,,
785,1x Setzkasten Sammlervitrine mit Spiegel 17 Fächer f. Sammlerstücke incl. Inhalt,7,1 Dec 2020 at 5:52:52pm GMT,25.5,9.99,EUR,,,
786,B Ware Design Polstersessel Weiß Esszimer Lehnstuhl Relaxsessel TV-Sessel 6,5,1 Dec 2020 at 7:27:32pm GMT,17.06,1,EUR,,,
787,"Kids Animal Z Bed Single Sofa Bed Blue, Yellow & Green",7,2 Dec 2020 at 1:53:47pm GMT,23,5,£,,,
788,Charles Bentley 2 Drawer Wooden Bed Side Coffee/Lamp Table/Storage/Cabinet Grey,3,2 Dec 2020 at 2:43:02pm GMT,20.75,0.99,£,,,
789,Charles Bentley Linen Occasion Accent Chair Grey with Blue Buttons and Piping,3,2 Dec 2020 at 3:06:17pm GMT,19.88,0.99,£,,,
790,"Original USM HALLER Tablare 75 x 35 cm Systemmaß , lichtgrau , 4 Stück !!",7,2 Dec 2020 at 6:01:18pm GMT,82,1,EUR,,,
791,"Original USM HALLER Klappe Türe 75 x 35 cm Systemmaß , anthrazit ,  2 Stück ",7,2 Dec 2020 at 6:12:57pm GMT,84.78,1,EUR,,,
792,B Ware/Bügelbrett 2 in 1 Kommode mit Weidenkörben - Weiß 5,5,2 Dec 2020 at 6:32:22pm GMT,8.5,1,EUR,,,
793,12 Stk. Möbelknöpfe Möbelgriffe Möbelknopf Keramik Shabby rosa Auktion Nov4-2,7,2 Dec 2020 at 6:38:11pm GMT,14.5,1,EUR,,,
794,Starry Night Inflatable Double Air Bed Raised Frame Guest Mattress Electric Pump,5,2 Dec 2020 at 8:00:42pm GMT,41.01,0.99,£,"Home, Furniture & DIY>Furniture>Beds & Mattresses>Inflatable Mattresses & Airbeds",Beds & Mattresses,Inflatable Mattresses & Airbeds
795,Charles Bentley Pair of Plastic Tulip PU Scandi Dining Chairs in Black Retro,3,3 Dec 2020 at 2:02:53pm GMT,27,0.99,£,,,
796,Glass fronted display cabinet for collectables models,10,3 Dec 2020 at 2:46:59pm GMT,27,9,£,,,
797,Original USM Haller Konnektoren 20 Stück ,7,3 Dec 2020 at 6:26:06pm GMT,24.5,1,EUR,,,
798,NEW BEEBO BEABO Clamp-On Bedside Shelf/Nightstand In Black - Z03,7,3 Dec 2020 at 10:01:14pm GMT,30,4.99,£,,,
799,Vintage folding step stool,7,4 Dec 2020 at 8:42:54pm GMT,31,10.8,£,,,
800,Charles Bentley 2 Drawer Wooden Bed Side Coffee/Lamp Table/Storage/Cabinet Grey,3,5 Dec 2020 at 3:46:55pm GMT,23.55,0.99,£,,,
801,Mahogany open shelf unit,7,5 Dec 2020 at 6:13:24pm GMT,17,8.99,£,,,
802,14x IKEA Holzbügel und 14x IKEA Kleiderbügelpolster Bumerang,7,6 Dec 2020 at 10:29:20am GMT,10.63,1,EUR,,,
803,Vintage ox blood button top foot stool 99p no reserve,10,6 Dec 2020 at 4:26:25pm GMT,34,0.99,£,,,
804,Ikea Bezug fur Ektorp Hocker - Beige,7,6 Dec 2020 at 7:03:04pm GMT,45.5,9,EUR,,,
805,Vintage Period metal trunk,10,7 Dec 2020 at 3:22:10pm GMT,32,10,£,,,
806,MADE Aula Beistelltisch rund Schwarz NEU/OVP ,7,13 Dec 2020 at 7:11:35pm GMT,35.5,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
807,Charles Bentley Pair of Velvet Dining Chairs with Beech Wood Effect Legs Pink,3,14 Dec 2020 at 3:47:51pm GMT,36,0.99,£,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
808,Charles Bentley Pair of Plastic Tulip PU Scandi Dining Chairs in Black Retro,3,14 Dec 2020 at 3:50:37pm GMT,26,0.99,£,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
809,NICE LITTLE UPHOLSTERED FOOT STOOL WITH DRAWER REMOTE CONTROL OR WHATEVER,7,14 Dec 2020 at 7:46:25pm GMT,12.72,3,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
810,Charles Bentley Round Pleated Velvet Footstool/Pouffe with Gold Base Grey,3,20 Dec 2020 at 3:42:55pm GMT,8.27,0.99,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
811,Intex Inflatable 2 Seater Pull Put Sofa Bed - Charcoal Grey NEW,7,21 Dec 2020 at 10:33:50pm GMT,74,37,£,"Home, Furniture & DIY>Furniture>Sofas, Armchairs & Couches",Furniture,"Sofas, Armchairs & Couches"
812,Stauraumhocker Jeansblau 38x38x38cm Sitzhocker mit Deckel Sitzwürfel Sitzbox,7,23 Dec 2020 at 8:18:27am GMT,8.55,1,EUR,"Home, Furniture & DIY>Furniture>Benches, Stools & Bar StoolsHome, Furniture & DIY>Children's Home & Furniture>Home Décor & Organisation>Toy Boxes",Home Décor & Organisation,Toy Boxes
813,Stauraumhocker Jeansblau 38x38x38cm Sitzhocker mit Deckel Sitzwürfel Sitzbox,7,23 Dec 2020 at 8:18:27am GMT,8.55,1,EUR,"Home, Furniture & DIY>Furniture>Benches, Stools & Bar StoolsHome, Furniture & DIY>Children's Home & Furniture>Home Décor & Organisation>Toy Boxes",Home Décor & Organisation,Toy Boxes
814,NEW BOXED - DOUBLE DOOR DESK END CUPBOARD WITH LOCK - OAK - RRP £160 -,7,26 Dec 2020 at 3:00:08pm GMT,27,0.01,£,"Home, Furniture & DIY>Furniture>Cabinets & Cupboards",Furniture,Cabinets & Cupboards
815,single mattress,7,4 Jan 2021 at 10:48:12am GMT,51,20,£,"Home, Furniture & DIY>Furniture>Beds & Mattresses>Mattresses",Beds & Mattresses,Mattresses
816,Charles Bentley Pair of Plastic Tulip PU Scandi Dining Chairs in Black Retro,3,5 Jan 2021 at 3:42:59pm GMT,17,0.99,£,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
817,Small Table ,7,5 Jan 2021 at 6:57:52pm GMT,20,4.5,£,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
818,Leder Sofa schwarz neuwertiges Ledersofa leather couch black cuir canapé  *1203,10,11 Jan 2021 at 7:50:27pm GMT,54,1,EUR,"Home, Furniture & DIY>Furniture>Sofas, Armchairs & Couches",Furniture,"Sofas, Armchairs & Couches"
819,Vtg Pine Chest Trunk Engineering Tool Cabinet Table Dove Tail Iron Handles 254 ,7,11 Jan 2021 at 8:00:30pm GMT,101,49.95,£,"Home, Furniture & DIY>Furniture>Trunks & ChestsAntiques>Antique Furniture>Boxes/Chests>20th Century",Boxes/Chests,20th Century
820,"Footstool Green Patterned on cream/beige, Gorgeous, Excellent Clean Condition",5,11 Jan 2021 at 8:15:10pm GMT,21,9.99,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
821,"P207 HEINE Couchtisch ""creme"" ca. 50,5 x 102 x 58 cm UVP: 269,99€",3,12 Jan 2021 at 11:00:00am GMT,37.06,5,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
822,kleiner Tisch für Ikea Söderhamn,7,13 Jan 2021 at 4:48:39pm GMT,9.38,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
823,Original USM Haller Konnektoren 20 Stück ,7,15 Jan 2021 at 6:04:10pm GMT,27.38,1,EUR,"Home, Furniture & DIY>Furniture>Other Furniture",Furniture,Other Furniture
824,Moroccan pouffe Genuine Leather Footstool Multicoloured poufe pouf New,7,16 Jan 2021 at 8:04:14pm GMT,46,24.99,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
825,ORNATE VINTAGE ORIENTAL STYLE ROUND BRASS TOP & WOOD FOLDING SIDE COFFEE TABLE,7,17 Jan 2021 at 7:14:27pm GMT,39,24.99,£,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
826,Retro Industrial Style Circle Wall Shelf Round Shelving Unit Metal Wood Storage,7,18 Jan 2021 at 12:08:01pm GMT,10.5,0.01,£,"Home, Furniture & DIY>Furniture>Bookcases, Shelving & Storage",Furniture,"Bookcases, Shelving & Storage"
827,Set of 3 Hexagon Wall Shelves Industrial Style Metal Wood Shelving Shelf Display,7,18 Jan 2021 at 1:07:19pm GMT,13.5,0.01,£,"Home, Furniture & DIY>Furniture>Bookcases, Shelving & Storage",Furniture,"Bookcases, Shelving & Storage"
828,Retro Industrial Style Three Tier Wall Shelf Shelving Unit Metal Storage Vintage,7,18 Jan 2021 at 2:10:39pm GMT,23,0.01,£,"Home, Furniture & DIY>Furniture>Bookcases, Shelving & Storage",Furniture,"Bookcases, Shelving & Storage"
829,Woven Rush Wicker Rope String Rattan Seagrass Foot Stool Plant Stand Vintage Old,7,18 Jan 2021 at 3:43:02pm GMT,15.5,7.5,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
830,IKEA BEKVAM Wooden Step Stool Natural Kitchen Stool,7,18 Jan 2021 at 5:19:13pm GMT,25,9.99,£,"Home, Furniture & DIY>Furniture>Benches, Stools & Bar Stools",Furniture,"Benches, Stools & Bar Stools"
831,Your Home Velvet Fabric Ottoman Footstool Furniture Seat Pouffe Storage Box ,5,18 Jan 2021 at 8:00:08pm GMT,13.5,0.99,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
832,Aluchrome Waterbed Heater. Used for one week only.,7,20 Jan 2021 at 9:39:02am GMT,51,15,£,"Home, Furniture & DIY>Furniture>Beds & Mattresses>Bed & Waterbed Accessories",Beds & Mattresses,Bed & Waterbed Accessories
833,"P504 HEINE Kommode ohne Griffe ""taupe"" ca. 98 x 62 x 32 cm UVP: 379,99€",7,20 Jan 2021 at 11:20:41am GMT,76.99,5,EUR,"Home, Furniture & DIY>Furniture>Chests of Drawers",Furniture,Chests of Drawers
834,B-WARE [en.casa] Beistelltisch Metallkorb Couchtisch Sofatisch 3er Set Deko Weiß,1,22 Jan 2021 at 11:16:49am GMT,21.5,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
835,B-WARE 2x Tischgestell Sitzbank Gestell Beine Couchtisch Tischkufen 40x43cm,1,22 Jan 2021 at 11:16:57am GMT,26.5,1,EUR,"Home, Furniture & DIY>Furniture>Furniture Parts",Furniture,Furniture Parts
836,Sofa/Bed Portable Folding Laptop Table/Desk - Futon Company  W53 x D33 x H19.5cm,7,23 Jan 2021 at 11:18:59am GMT,13.5,4.99,£,"Home, Furniture & DIY>Furniture>Home Office Desks",Furniture,Home Office Desks
837,B-WARE 2x Beistelltisch Couchtisch Sofatisch Set Tabletttisch Servier Tisch,1,23 Jan 2021 at 4:42:14pm GMT,14.3,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
838,B-WARE 2x Tischgestell Sitzbank Gestell Beine Couchtisch Tischkufen 40x43cm,1,23 Jan 2021 at 4:42:48pm GMT,34.5,1,EUR,"Home, Furniture & DIY>Furniture>Furniture Parts",Furniture,Furniture Parts
839,Your Home Velvet Fabric Ottoman Footstool Furniture Seat Pouffe Storage Box ,5,24 Jan 2021 at 8:11:30pm GMT,12.5,0.99,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
840,1 Paar USM Haller Scharniere Federbänder für Klappe mit Befestigungsmaterial ,7,25 Jan 2021 at 6:40:44pm GMT,56,1,EUR,"Home, Furniture & DIY>Furniture>Other Furniture",Furniture,Other Furniture
841,"Original USM Haller 6 Stangen/Rohre 73 cm,75 cm Systemmaß",7,25 Jan 2021 at 6:44:46pm GMT,58,1,EUR,"Home, Furniture & DIY>Furniture>Other Furniture",Furniture,Other Furniture
842,SMALL VINTAGE WOOD DISPLAY CABINET FREESTANDING OR WALL HANGING,7,25 Jan 2021 at 7:55:13pm GMT,31,15.99,£,"Home, Furniture & DIY>Furniture>Cabinets & Cupboards",Furniture,Cabinets & Cupboards
843,Gold Retro Vintage Tea Drinks 2 Tier Hostess Trolley Foldable,7,26 Jan 2021 at 7:19:49pm GMT,48,23.9,£,"Home, Furniture & DIY>Furniture>Drinks Trolleys & Tea Trolleys",Furniture,Drinks Trolleys & Tea Trolleys
844,Kartell: Fach für Componibili Container rund / großes Fach / weiß,10,27 Jan 2021 at 10:17:02am GMT,31.5,1,EUR,"Home, Furniture & DIY>Furniture>Other Furniture",Furniture,Other Furniture
845,B-WARE Wandregal mit 2 Schubladen Regal Ablage Hängeregal Wand 10x60x15cm grau,1,27 Jan 2021 at 1:00:47pm GMT,14.29,1,EUR,"Home, Furniture & DIY>Furniture>Bookcases, Shelving & Storage",Furniture,"Bookcases, Shelving & Storage"
846,B-WARE 2x Esszimmerstuhl Bürostuhl Küchenstuhl Stuhl Stuhlset Stühle Türkis,1,27 Jan 2021 at 1:02:01pm GMT,20.72,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
847,B-WARE Wandregal Hängeregal Wandboard Deko Regal Board Holz-Optik Stahlrahmen,1,27 Jan 2021 at 1:03:30pm GMT,8.5,1,EUR,"Home, Furniture & DIY>Furniture>Bookcases, Shelving & Storage",Furniture,"Bookcases, Shelving & Storage"
848,B-WARE 2x Design Stühle Schwarz Esszimmer Stuhl Kunststoff Skandinavisch Set,1,27 Jan 2021 at 1:05:33pm GMT,20.51,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
849,B-WARE Konsolentisch 92x80x32cm Flurtisch Konsole Kommode Highboard Sideboard,1,27 Jan 2021 at 1:06:54pm GMT,17.16,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
850,B-WARE Wandregal mit Schublade Beton Hängeregal Wand Regal Ablage Schrank,1,27 Jan 2021 at 1:06:57pm GMT,16.5,1,EUR,"Home, Furniture & DIY>Furniture>Bookcases, Shelving & Storage",Furniture,"Bookcases, Shelving & Storage"
851,B-WARE 2x Tischgestell Sitzbank Gestell Beine Couchtisch Tischkufen 40x43cm,1,27 Jan 2021 at 10:03:08pm GMT,22.51,1,EUR,"Home, Furniture & DIY>Furniture>Furniture Parts",Furniture,Furniture Parts
852,B-WARE 2x Esszimmerstuhl Bürostuhl Küchenstuhl Stuhl Stuhlset Stühle Beige,1,27 Jan 2021 at 10:03:39pm GMT,23.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
853,B-WARE 2er-Set Stühle weiß Hochlehner Esszimmer Kunst-Leder Polster Stuhl,1,27 Jan 2021 at 10:04:20pm GMT,16,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
854,B-WARE Beistelltisch 50x55x55cm Konsole Couchtisch Metall Kratzfest Tisch,1,27 Jan 2021 at 10:04:26pm GMT,15.49,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
855,B-WARE Glasplatte Ø90cm Rund Glasscheibe Tischplatte ESG Glas Kaminplatte,1,27 Jan 2021 at 10:04:33pm GMT,17.5,1,EUR,"Home, Furniture & DIY>Furniture>Furniture Parts",Furniture,Furniture Parts
856,B-WARE Konsolentisch 95x110x32cm Flurtisch Konsole Kommode Highboard Sideboard,1,27 Jan 2021 at 10:06:58pm GMT,20.94,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
857,B-WARE 2x Tischgestell Sitzbank Gestell Beine Couchtisch Tischkufen 40x43cm,1,28 Jan 2021 at 1:10:57pm GMT,17.99,1,EUR,"Home, Furniture & DIY>Furniture>Furniture Parts",Furniture,Furniture Parts
858,vintage pub bar stool,7,28 Jan 2021 at 1:31:36pm GMT,30,13.4,£,"Home, Furniture & DIY>Furniture>Benches, Stools & Bar Stools",Furniture,"Benches, Stools & Bar Stools"
859,B-WARE 2x Tischgestell Sitzbank Gestell Beine Couchtisch Tischkufen 40x43cm,1,28 Jan 2021 at 9:28:45pm GMT,16.5,1,EUR,"Home, Furniture & DIY>Furniture>Furniture Parts",Furniture,Furniture Parts
860,B-WARE 2x Esszimmerstuhl Bürostuhl Küchenstuhl Stuhl Stuhlset Stühle Beige,1,30 Jan 2021 at 2:13:36pm GMT,20.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
861,laura ashley coffee table,7,30 Jan 2021 at 9:16:48pm GMT,77,35,£,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
862,B-WARE 2er-Set Stühle weiß Hochlehner Esszimmer Kunst-Leder Polster Stuhl,1,31 Jan 2021 at 2:39:53pm GMT,20.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
863,B-WARE Wandregal + Schublade Dunkelgrau Hängeregal Wand Regal Ablage Schrank,1,31 Jan 2021 at 2:40:41pm GMT,9,1,EUR,"Home, Furniture & DIY>Furniture>Bookcases, Shelving & Storage",Furniture,"Bookcases, Shelving & Storage"
864,Pine storage chest for blankets/toys. John Lewis,7,31 Jan 2021 at 3:39:17pm GMT,41,20,£,"Home, Furniture & DIY>Furniture>Trunks & Chests",Furniture,Trunks & Chests
865,Small Wooden Footstool ,7,31 Jan 2021 at 5:42:29pm GMT,26,10,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
866,B-WARE 2x Stühle Dunkelbraun Lehnstuhl Esszimmer-Stuhl Polsterstuhl Lounge,1,2 Feb 2021 at 11:12:51pm GMT,40.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
867,B-WARE 2er-Set Stühle grau Hochlehner Esszimmer Kunst-Leder Polster Stuhl,1,2 Feb 2021 at 11:13:34pm GMT,14.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
868,B-WARE Wandregal + Schublade Dunkelgrau Hängeregal Wand Regal Ablage Schrank,1,2 Feb 2021 at 11:14:04pm GMT,7.88,1,EUR,"Home, Furniture & DIY>Furniture>Bookcases, Shelving & Storage",Furniture,"Bookcases, Shelving & Storage"
